group_id	review_text	rating	category	review_tag
B000WCBN0W	This MB was a replacement in a customers PC that was hit with a lightning surge . It was easy to setup and seems faster than the Intel mainboard she had . I would recommend it , certainly for it 's low price !	5.0	reviews_electronics_5	DT NNP VBD DT NN IN DT NNS NN WDT VBD VBN IN DT NN NN . PRP VBD JJ TO VB CC VBZ RBR IN DT NNP NN PRP VBD . PRP MD VB PRP , RB IN PRP `` VBZ JJ NN .
B000WCBN0W	Evaluating ASRock G31M-GS m / b.Just suits my purpose ! ASRock products are good . Would buy another if I had to . No problem .	5.0	reviews_electronics_5	VBG NNP NNP NN RB VBZ PRP$ NN . NNP NNS VBP JJ . MD VB DT IN PRP VBD TO . DT NN .
B000WCBN0W	Thanks to this motherboard ( I had one of this Brand before , so thay I knew the quality of the product ) my computer Works again , it can handle up to 4 GB RAM memory DDR2	5.0	reviews_electronics_5	NNS TO DT NN '' PRP VBD CD IN DT NNP IN , IN IN PRP VBD DT NN IN DT NN IN PRP$ NN VBZ RB , PRP MD VB RB TO CD NNP NNP NN NNP
B000WCBN0W	Had no problems installing this board . Worked right away . Did not have to reinstall my os or anything . Great buy for me .	5.0	reviews_electronics_5	VBD DT NNS VBG DT NN . VBD RB RB . VBD RB VB TO VB PRP$ NNS CC NN . NNP NN IN PRP .
B000WCBN0W	I bought this MOBO because of the price and because i got positive review about the company.I like the compatibility with many intel processors and also the quantity of USB ports.I really recommend this product !	5.0	reviews_electronics_5	PRP VBD DT NNP IN IN DT NN CC IN NNS VBD JJ NN IN DT NN IN DT NN IN JJ NN NNS CC RB DT NN IN NNP NNP RB VB DT NN .
B000WCBN0W	My old MB quit work , so I bought this to use with my existing processor , RAM , and hard drives , which it did easily . Everything is well-labeled and documented . Worked perfectly from first power-up .	5.0	reviews_electronics_5	PRP$ JJ NNP NN NN , RB PRP VBD DT TO VB IN PRP$ VBG NN , NNP , CC JJ NNS , WDT PRP VBD RB . NN VBZ JJ CC VBN . VBD RB IN JJ NN .
B000WCBN0W	Was a good price for my needs without having to upgrade my existing cpu and ram . If you are replacing or upgrading your motherboard take the time and research your existing motherboard to ensure compatibility . This worked out of the box with no issues .	5.0	reviews_electronics_5	VBD DT JJ NN IN PRP$ NNS IN VBG TO VB PRP$ VBG NN CC NN . IN PRP VBP VBG CC VBG PRP$ NN VB DT NN CC VB PRP$ VBG NN TO VB NN . NNPS VBD IN IN DT NN IN DT NNS .
B000WCBN0W	my only complaint would be the lack of 4 dimms for memory . Ease if setup was great and plenty of room ,	4.0	reviews_electronics_5	PRP$ JJ NN MD VB DT NN IN CD NNS IN NN . NNP IN NN VBD JJ CC NN IN NN ,
B000WCBN0W	No problem . It works just like it should . The only problem is it is a 32bit board in an increasingly-64bit world . I recommend the buyer consider upgrading to a 64bit system . But , if cost is the only consideration , this one works well .	4.0	reviews_electronics_5	DT NN . PRP VBZ RB IN PRP MD . DT JJ NN VBZ PRP VBZ DT JJ NN IN DT JJ NN . PRP VBP DT NN NN VBG TO DT CD NN . CC , IN NN VBZ DT JJ NN , DT NN VBZ RB .
B000WCBN0W	Other buyer 's would love this it is as described this motherboard works greatPros : works for intended purposes new in boxCons : there are not really any cons to this Motherboard	5.0	reviews_electronics_5	JJ NN `` NNS MD VB DT PRP VBZ IN VBN DT NN VBZ NNS : NNS IN JJ NNS JJ IN NNS : EX VBP RB RB DT NNS TO DT NNP
B000WCBN0W	Purchased this to replace a failed motherboard in an old Emachines desktop for a client . It installed easily and worked perfectly .	5.0	reviews_electronics_5	VBN DT TO VB DT VBN NN IN DT JJ NNS NN IN DT NN . PRP VBD RB CC VBD RB .
